Teks;Lokasi;Waktu;User;Label
b'@imanbr Menatap nanar ke mangga-mangga sisa.';;05/11/18 10.25;omsis;0
b'@tidakalien E-sport dan e-learning. Karena Menggabungkan teori matematika tentang probabilitas dan teori ekonomi tentang forecasting.';;05/11/18 10.25;dialogrendang;0
b'\xe2\x80\x9cSaya minggu ini tdk bisa\xe2\x80\x9d \nStreak ke 3\nKeterangan pak dosbing saya \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad';;05/11/18 10.25;ronallcm;0
b'Mau jadi TTM-ku gak? Teman Tapi Menikah #SeninJempol';;05/11/18 10.25;YulHasanah;0
b'@najaemcyy Iya\xf0\x9f\x98\xad\xf0\x9f\x98\xad gila gak sih sumpah';;05/11/18 10.25;botaquemol;0
b'FT BLACK LATIN\nSIZE : M, L\n\nIDR. 140K\n\nOrder online : \nWA : 085727581101 \nLine : @frogstone_smg (pakai @) . \n\nMARKETPLACE :\nShopee : https://t.co/40Uienfp25 . \nBukalapak :... https://t.co/6d15irrB5C';;05/11/18 10.25;frogstone_smg;0
b'@ichampjuara Terimakasih atas feed back nya , Untuk hal ini akan kita infokan dengan Tim terkait agar bisa lebih memperbaiki ke amanan Customer ^FJ';;05/11/18 10.25;BlibliCare;0
b'@buisydick iya padahal tarno nokturnal';;05/11/18 10.25;ShennaAriendr;0
b'@N_LalaJKT48 @H_EliJKT48 Bukannya kalo pake earphone jadi ngga nafas ya bukan ngga liat \xf0\x9f\x98\x80';;05/11/18 10.25;MrGushHansamuna;0
"b'Rindu, ialah sisi lain dari koin bernama cinta; yg terbalik memandang isi dunia'";;05/11/18 10.25;nitha_cutegirl;0
b'@herurudi @abyalif74_noni @DennyJA_WORLD @saididu @Ferdinand_Haean Pantas urat malunya putus si cebong ini';;05/11/18 10.25;harsoprabowo;2
b'mampus kau dikoyak2 rindu';;05/11/18 10.25;mzyna_;0
b'Senin ini berjalan dengan baik :)';;05/11/18 10.25;falliautami;0
b'#TeamAnggun #TheVoiceIndonesia #2018 https://t.co/sVRNCu595m';;05/11/18 10.25;r3zhas;0
b'@kavinrdr Panik karena?';;05/11/18 10.25;ruvlut;0
b'bahagia itu ketika kita bisa membuat org lain tersenyum dan tertawa \xf0\x9f\x98\x81\xf0\x9f\x98\x80\xf0\x9f\x98\x8e\n======================\nhasil smlm Ngamen trio centil @goblocksband\ndi acara\nFestival Kampung Kerak Telor, Mampang\xe2\x80\xa6 https://t.co/vaE9y73eMI';;05/11/18 10.25;ibalgoblocks;0
b'@young_tanjuang @kridamembran @VIVAcoid @sofyan_natsir Dan masih sederet kasus yang lain, Indonesia nggak akan lupa itu';;05/11/18 10.25;EkoSiam;0
"b'Foloweku 2000an tp kayanya yg masi aktip cuma gasampe 5%nya;('";Tarik;05/11/18 10.25;Ditassr;0
b'Hai \xe2\x80\x94 hi, tayo https://t.co/g9XaeSPr2Y';;05/11/18 10.25;vinafikasari;0
b'https://t.co/xKOEYzoFlu';;05/11/18 10.25;daiybreak;0
"b'@athenamorfati Iyaa huhu :""""'";;05/11/18 10.25;kthhateu26;0
