data,target
se7,1
t4,1
s6,1
ber2,1
ber3,1
ber4,1
ber5,1
ber6,1
ber7,1
ber8,1
ber9,1
ber2,1
ber3,1
ber4,1
ber5,1
ber6,1
ber7,1
ber8,1
ber9,1
ke2,1
ke3,1
ke4,1
ke5,1
ke6,1
ke7,1
ke8,1
ke9,1
ke2,1
ke3,1
ke4,1
ke5,1
ke6,1
ke7,1
ke8,1
ke9,1
ke2,1
ke3,1
ke4,1
ke5,1
ke6,1
ke7,1
ke8,1
ke9,1
he2,0
he3,0
he4,0
he5,0
he6,0
he7,0
he8,0
he9,0
he2,0
he3,0
he4,0
he5,0
he6,0
he7,0
he8,0
he9,0
hati2,0
siap2,0
teman2,0
makan2,0
jalan2,0
hati2,0
siap2,0
teman2,0
makan2,0
jalan2,0
wk2,0
wk3,0
wk4,0
wk5,0
wk6,0
wk7,0
wk8,0
wk9,0
wk2,0
wk3,0
wk4,0
wk5,0
wk6,0
wk7,0
wk8,0
wk9,0
simb0l,2
h1tam,2
ke2am,2
c3pat,2
terb4ng,2
pe5an,2
te6ang,2
se7uju,2
ke8al,2
ba9i,2
hal0,2
hat1,2
sega2,2
bul3,2
lam4,2
kera5,2
senan6,2
ura7,2
keba8,2
senan9,2
0rang,2
1kan,2
2umah,2
3mang,2
4ku,2
5api,2
6uling,2
7opi,2
8atu,2
9ampar,2
